Date,Week,Away Team,Away Score,Home Team,Home Score,Neutral Field
Oct 18 2014,8,Rutgers,17,Ohio State,56,
Oct 18 2014,8,Washington,20,Oregon,45,
Oct 18 2014,8,Hawaii,10,San Diego State,20,
Oct 18 2014,8,San Jose State,27,Wyoming,20,
Oct 18 2014,8,Georgia State,27,South Alabama,30,
Oct 18 2014,8,Furman,10,South Carolina,41,
Oct 18 2014,8,South Florida,38,Tulsa,30,
Oct 18 2014,8,Colorado,28,Southern California,56,
Oct 18 2014,8,Southern Mississippi,30,North Texas,20,
Oct 18 2014,8,Syracuse,30,Wake Forest,7,
Oct 18 2014,8,Iowa State,45,Texas,48,
Oct 18 2014,8,Oklahoma State,9,Texas Christian,42,
Oct 18 2014,8,Kansas,21,Texas Tech,34,
Oct 18 2014,8,UCLA,36,California,34,
Oct 18 2014,8,Baylor,27,West Virginia,41,
Oct 18 2014,8,Western Michigan,26,Bowling Green State,14,
Oct 21 2014,9,Arkansas State,40,Louisiana-Lafayette,55,
Oct 23 2014,9,Connecticut,21,East Carolina,31,
Oct 23 2014,9,Miami (FL),30,Virginia Tech,6,
Oct 24 2014,9,Brigham Young,30,Boise State,55,
Oct 24 2014,9,South Florida,17,Cincinnati,34,
Oct 24 2014,9,California,41,Oregon,59,Levi`s Stadium - Santa Clara CA
Oct 24 2014,9,Troy,13,South Alabama,27,
Oct 25 2014,9,Alabama,34,Tennessee,20,
Oct 25 2014,9,Arizona,59,Washington State,37,
Oct 25 2014,9,Arizona State,24,Washington,10,
Oct 25 2014,9,Alabama-Birmingham,17,Arkansas,45,
Oct 25 2014,9,South Carolina,35,Auburn,42,
Oct 25 2014,9,Akron,21,Ball State,35,
Oct 25 2014,9,Boston College,23,Wake Forest,17,
Oct 25 2014,9,Temple,14,Central Florida,34,
Oct 25 2014,9,Central Michigan,20,Buffalo,14,
Oct 25 2014,9,Syracuse,6,Clemson,16,
Oct 25 2014,9,Wyoming,31,Colorado State,45,
Oct 25 2014,9,Georgia Southern,69,Georgia State,31,
Oct 25 2014,9,Georgia Tech,56,Pittsburgh,28,
Oct 25 2014,9,Minnesota,24,Illinois,28,
Oct 25 2014,9,Texas,0,Kansas State,23,
Oct 25 2014,9,Mississippi,7,Louisiana State,10,
Oct 25 2014,9,Louisiana Tech,31,Southern Mississippi,20,
Oct 25 2014,9,Florida Atlantic,16,Marshall,35,
Oct 25 2014,9,Memphis,48,Southern Methodist,10,
Oct 25 2014,9,Kent State,3,Miami (OH),10,
Oct 25 2014,9,Michigan,11,Michigan State,35,
Oct 25 2014,9,Mississippi State,45,Kentucky,31,
Oct 25 2014,9,Vanderbilt,14,Missouri,24,
Oct 25 2014,9,San Jose State,31,Navy,41,
Oct 25 2014,9,Rutgers,24,Nebraska,42,
Oct 25 2014,9,Nevada,26,Hawaii,18,
Oct 25 2014,9,North Carolina,28,Virginia,27,
Oct 25 2014,9,Northern Illinois,28,Eastern Michigan,17,
Oct 25 2014,9,Ohio State,31,Penn State,24,
Oct 25 2014,9,North Texas,21,Rice,41,
Oct 25 2014,9,Oregon State,14,Stanford,38,
Oct 25 2014,9,Texas Tech,27,Texas Christian,82,
Oct 25 2014,9,Texas State,22,Louisiana-Monroe,18,
Oct 25 2014,9,Texas-El Paso,34,Texas-San Antonio,0,
Oct 25 2014,9,Massachusetts,35,Toledo,42,
Oct 25 2014,9,UCLA,40,Colorado,37,
Oct 25 2014,9,Southern California,21,Utah,24,
Oct 25 2014,9,Nevada-Las Vegas,20,Utah State,34,
Oct 25 2014,9,West Virginia,34,Oklahoma State,10,
Oct 25 2014,9,Old Dominion,51,Western Kentucky,66,
Oct 25 2014,9,Ohio,21,Western Michigan,42,
Oct 25 2014,9,Maryland,7,Wisconsin,52,
Oct 30 2014,10,Florida State,42,Louisville,31,
Oct 30 2014,10,Troy,10,Georgia Southern,42,
Oct 31 2014,10,Cincinnati,38,Tulane,14,
Oct 31 2014,10,Tulsa,20,Memphis,40,
Nov 1 2014,10,Air Force,23,Army,6,
Nov 1 2014,10,Alabama-Birmingham,31,Florida Atlantic,28,
Nov 1 2014,10,Georgia State,0,Appalachian State,44,
Nov 1 2014,10,Utah,16,Arizona State,19,
Nov 1 2014,10,Arkansas State,44,Idaho,28,
Nov 1 2014,10,Auburn,35,Mississippi,31,
Nov 1 2014,10,Kansas,14,Baylor,60,
Nov 1 2014,10,Boston College,33,Virginia Tech,31,
Nov 1 2014,10,Brigham Young,27,Middle Tennessee State,7,
Nov 1 2014,10,California,45,Oregon State,31,
Nov 1 2014,10,Central Michigan,38,Eastern Michigan,7,
Nov 1 2014,10,Colorado State,38,San Jose State,31,
Nov 1 2014,10,Central Florida,29,Connecticut,37,
Nov 1 2014,10,Duke,51,Pittsburgh,48,
Nov 1 2014,10,Georgia,20,Florida,38,EverBank Field - Jacksonville FL
Nov 1 2014,10,Virginia,10,Georgia Tech,35,
Nov 1 2014,10,Houston,27,South Florida,3,
Nov 1 2014,10,Northwestern,7,Iowa,48,
Nov 1 2014,10,Oklahoma State,14,Kansas State,48,
Nov 1 2014,10,Western Kentucky,10,Louisiana Tech,59,
Nov 1 2014,10,South Alabama,9,Louisiana-Lafayette,19,
Nov 1 2014,10,Maryland,20,Penn State,19,
Nov 1 2014,10,North Carolina,20,Miami (FL),47,
Nov 1 2014,10,Indiana,10,Michigan,34,
Nov 1 2014,10,Arkansas,10,Mississippi State,17,
Nov 1 2014,10,Kentucky,10,Missouri,20,
Nov 1 2014,10,Purdue,14,Nebraska,35,
Nov 1 2014,10,San Diego State,14,Nevada,30,
Nov 1 2014,10,New Mexico,31,Nevada-Las Vegas,28,
Nov 1 2014,10,North Carolina State,24,Syracuse,17,
Nov 1 2014,10,Navy,39,Notre Dame,49,FedEx Field - Landover MD
Nov 1 2014,10,Illinois,14,Ohio State,55,
Nov 1 2014,10,Oklahoma,59,Iowa State,14,
Nov 1 2014,10,Stanford,16,Oregon,45,
Nov 1 2014,10,Rice,31,Florida International,17,
Nov 1 2014,10,Southern California,44,Washington State,17,
Nov 1 2014,10,East Carolina,10,Temple,20,
Nov 1 2014,10,Tennessee,45,South Carolina,42,
Nov 1 2014,10,Texas,34,Texas Tech,13,
Nov 1 2014,10,Louisiana-Monroe,16,Texas A&amp;M,21,
Nov 1 2014,10,Texas Christian,31,West Virginia,30,
Nov 1 2014,10,Texas State,37,New Mexico State,29,
Nov 1 2014,10,Southern Mississippi,14,Texas-El Paso,35,
Nov 1 2014,10,Arizona,7,UCLA,17,
Nov 1 2014,10,Utah State,35,Hawaii,14,
Nov 1 2014,10,Old Dominion,28,Vanderbilt,42,
Nov 1 2014,10,Washington,38,Colorado,23,
Nov 1 2014,10,Western Michigan,41,Miami (OH),10,
Nov 1 2014,10,Wisconsin,37,Rutgers,0,
Nov 1 2014,10,Wyoming,45,Fresno State,17,
Nov 4 2014,11,Bowling Green State,27,Akron,10,
Nov 4 2014,11,Toledo,30,Kent State,20,
Nov 5 2014,11,Northern Illinois,35,Ball State,21,
Nov 5 2014,11,Buffalo,14,Ohio,37,
Nov 6 2014,11,Clemson,34,Wake Forest,20,
Nov 7 2014,11,Memphis,16,Temple,13,
Nov 7 2014,11,Utah State,20,Wyoming,3,
Nov 8 2014,11,Air Force,48,Nevada-Las Vegas,21,
Nov 8 2014,11,Alabama,20,Louisiana State,13,
Nov 8 2014,11,Louisiana-Monroe,29,Appalachian State,31,
Nov 8 2014,11,Colorado,20,Arizona,38,
Nov 8 2014,11,Notre Dame,31,Arizona State,55,
Nov 8 2014,11,South Alabama,10,Arkansas State,45,
Nov 8 2014,11,Connecticut,21,Army,35,Yankee Stadium - Bronx NY
Nov 8 2014,11,Baylor,48,Oklahoma,14,
Nov 8 2014,11,Boise State,60,New Mexico,49,
Nov 8 2014,11,Hawaii,22,Colorado State,49,
Nov 8 2014,11,Duke,27,Syracuse,10,
Nov 8 2014,11,Florida,34,Vanderbilt,10,
Nov 8 2014,11,Virginia,20,Florida State,34,
Nov 8 2014,11,San Jose State,24,Fresno State,38,
Nov 8 2014,11,Georgia,63,Kentucky,31,
Nov 8 2014,11,Georgia Southern,28,Texas State,25,
Nov 8 2014,11,Georgia Tech,56,North Carolina State,23,
Nov 8 2014,11,Iowa State,14,Kansas,34,
Nov 8 2014,11,Louisiana Tech,40,Alabama-Birmingham,24,
Nov 8 2014,11,Louisiana-Lafayette,44,New Mexico State,16,
Nov 8 2014,11,Louisville,38,Boston College,19,
Nov 8 2014,11,Marshall,63,Southern Mississippi,17,
Nov 8 2014,11,Michigan,10,Northwestern,9,
Nov 8 2014,11,Iowa,14,Minnesota,51,
Nov 8 2014,11,Presbyterian,0,Mississippi,48,
Nov 8 2014,11,Tennessee-Martin,16,Mississippi State,45,
Nov 8 2014,11,Florida Atlantic,10,North Texas,31,
Nov 8 2014,11,Ohio State,49,Michigan State,37,
Nov 8 2014,11,Florida International,35,Old Dominion,38,
Nov 8 2014,11,Oregon,51,Utah,27,
Nov 8 2014,11,Penn State,13,Indiana,7,
Nov 8 2014,11,Texas-San Antonio,7,Rice,17,
Nov 8 2014,11,Idaho,21,San Diego State,35,
Nov 8 2014,11,West Virginia,16,Texas,33,
Nov 8 2014,11,Texas A&amp;M,41,Auburn,38,
Nov 8 2014,11,Kansas State,20,Texas Christian,41,
Nov 8 2014,11,Georgia State,21,Troy,45,
Nov 8 2014,11,Tulane,31,Houston,24,
Nov 8 2014,11,Southern Methodist,28,Tulsa,38,
Nov 8 2014,11,UCLA,44,Washington,30,
Nov 8 2014,11,Washington State,39,Oregon State,32,
Nov 8 2014,11,Texas-El Paso,27,Western Kentucky,35,
Nov 8 2014,11,Wisconsin,34,Purdue,16,
Nov 11 2014,12,Akron,24,Buffalo,55,
Nov 11 2014,12,Toledo,24,Northern Illinois,27,
Nov 12 2014,12,Kent State,20,Bowling Green State,30,
Nov 12 2014,12,Ball State,10,Massachusetts,24,
Nov 13 2014,12,East Carolina,46,Cincinnati,54,
Nov 13 2014,12,California,30,Southern California,38,
Nov 13 2014,12,Southern Mississippi,10,Texas-San Antonio,12,
Nov 14 2014,12,Tulsa,7,Central Florida,31,
Nov 15 2014,12,Nevada,38,Air Force,45,
Nov 15 2014,12,Mississippi State,20,Alabama,25,
Nov 15 2014,12,Appalachian State,37,Arkansas State,32,
Nov 15 2014,12,Washington,26,Arizona,27,
Nov 15 2014,12,Louisiana State,0,Arkansas,17,
Nov 15 2014,12,San Diego State,29,Boise State,38,
Nov 15 2014,12,Nevada-Las Vegas,23,Brigham Young,42,
Nov 15 2014,12,Miami (OH),27,Central Michigan,34,
Nov 15 2014,12,Middle Tennessee State,28,Florida International,38,
Nov 15 2014,12,Florida State,30,Miami (FL),26,
Nov 15 2014,12,Auburn,7,Georgia,34,
Nov 15 2014,12,Clemson,6,Georgia Tech,28,
Nov 15 2014,12,Hawaii,13,San Jose State,0,
Nov 15 2014,12,Iowa,30,Illinois,14,
Nov 15 2014,12,Louisiana-Lafayette,34,Louisiana-Monroe,27,
Nov 15 2014,12,Rice,14,Marshall,41,
Nov 15 2014,12,Memphis,38,Tulane,7,
Nov 15 2014,12,Michigan State,37,Maryland,15,
Nov 15 2014,12,Missouri,34,Texas A&amp;M,27,
Nov 15 2014,12,Georgia Southern,19,Navy,52,
Nov 15 2014,12,Pittsburgh,35,North Carolina,40,
Nov 15 2014,12,Wake Forest,13,North Carolina State,42,
Nov 15 2014,12,Northwestern,43,Notre Dame,40,
Nov 15 2014,12,Ohio State,31,Minnesota,24,
Nov 15 2014,12,Oklahoma,42,Texas Tech,30,
Nov 15 2014,12,Arizona State,27,Oregon State,35,
Nov 15 2014,12,Temple,13,Penn State,30,
Nov 15 2014,12,Indiana,23,Rutgers,45,
Nov 15 2014,12,Texas State,20,South Alabama,24,
Nov 15 2014,12,South Carolina,23,Florida,20,
Nov 15 2014,12,South Florida,14,Southern Methodist,13,
Nov 15 2014,12,Kentucky,16,Tennessee,50,
Nov 15 2014,12,Texas,28,Oklahoma State,7,
Nov 15 2014,12,Texas Christian,34,Kansas,30,
Nov 15 2014,12,North Texas,17,Texas-El Paso,35,
Nov 15 2014,12,Troy,34,Idaho,17,
Nov 15 2014,12,Utah,20,Stanford,17,
Nov 15 2014,12,New Mexico,21,Utah State,28,
Nov 15 2014,12,Virginia Tech,17,Duke,16,
Nov 15 2014,12,Army,24,Western Kentucky,52,
Nov 15 2014,12,Eastern Michigan,7,Western Michigan,51,
Nov 15 2014,12,Nebraska,24,Wisconsin,59,
Nov 18 2014,13,Massachusetts,6,Akron,30,
Nov 18 2014,13,Northern Illinois,21,Ohio,14,
Nov 19 2014,13,Bowling Green State,20,Toledo,27,
Nov 20 2014,13,Kansas State,26,West Virginia,20,
Nov 20 2014,13,North Carolina,45,Duke,20,
Nov 20 2014,13,Arkansas State,27,Texas State,45,
Nov 21 2014,13,Texas-El Paso,13,Rice,31,
Nov 21 2014,13,Air Force,14,San Diego State,30,
Nov 21 2014,13,San Jose State,7,Utah State,41,
Nov 22 2014,13,Western Carolina,14,Alabama,48,
Nov 22 2014,13,Appalachian State,35,Louisiana-Lafayette,16,
Nov 22 2014,13,Arizona,42,Utah,10,
Nov 22 2014,13,Washington State,31,Arizona State,52,
Nov 22 2014,13,Mississippi,0,Arkansas,30,
Nov 22 2014,13,Fordham,31,Army,42,
Nov 22 2014,13,Samford,7,Auburn,31,
Nov 22 2014,13,Eastern Michigan,30,Ball State,45,
Nov 22 2014,13,Oklahoma State,28,Baylor,49,
Nov 22 2014,13,Boise State,63,Wyoming,14,
Nov 22 2014,13,Savannah State,0,Brigham Young,64,
Nov 22 2014,13,Southern Methodist,7,Central Florida,53,
Nov 22 2014,13,Cincinnati,41,Connecticut,0,
Nov 22 2014,13,Georgia State,0,Clemson,28,
Nov 22 2014,13,New Mexico,20,Colorado State,58,
Nov 22 2014,13,Tulane,6,East Carolina,34,
Nov 22 2014,13,Eastern Kentucky,3,Florida,52,
Nov 22 2014,13,Boston College,17,Florida State,20,
Nov 22 2014,13,Fresno State,40,Nevada,20,
Nov 22 2014,13,Charleston Southern,9,Georgia,55,
Nov 22 2014,13,Nevada-Las Vegas,35,Hawaii,37,
Nov 22 2014,13,Tulsa,28,Houston,38,
Nov 22 2014,13,Penn State,14,Illinois,16,
Nov 22 2014,13,Louisiana-Monroe,30,New Mexico State,17,
Nov 22 2014,13,Louisville,31,Notre Dame,28,
Nov 22 2014,13,Marshall,23,Alabama-Birmingham,18,
Nov 22 2014,13,Maryland,23,Michigan,16,
Nov 22 2014,13,South Florida,20,Memphis,31,
Nov 22 2014,13,Rutgers,3,Michigan State,45,
Nov 22 2014,13,Florida Atlantic,34,Middle Tennessee State,35,
Nov 22 2014,13,Minnesota,28,Nebraska,24,
Nov 22 2014,13,Vanderbilt,0,Mississippi State,51,
Nov 22 2014,13,Missouri,29,Tennessee,21,
Nov 22 2014,13,Florida International,14,North Texas,17,
Nov 22 2014,13,Northwestern,38,Purdue,14,
Nov 22 2014,13,Indiana,27,Ohio State,42,
Nov 22 2014,13,Kansas,7,Oklahoma,44,
Nov 22 2014,13,Louisiana Tech,27,Old Dominion,30,
Nov 22 2014,13,Colorado,10,Oregon,44,
Nov 22 2014,13,Syracuse,7,Pittsburgh,30,
Nov 22 2014,13,South Alabama,12,South Carolina,37,
Nov 22 2014,13,Stanford,38,California,17,
Nov 22 2014,13,Texas Tech,34,Iowa State,31,
Nov 22 2014,13,Southern California,20,UCLA,38,
Nov 22 2014,13,Miami (FL),13,Virginia,30,
Nov 22 2014,13,Virginia Tech,3,Wake Forest,6,
Nov 22 2014,13,Oregon State,13,Washington,37,
Nov 22 2014,13,Texas-San Antonio,7,Western Kentucky,45,
Nov 22 2014,13,Western Michigan,32,Central Michigan,20,
Nov 22 2014,13,Wisconsin,26,Iowa,24,
Nov 25 2014,14,Ohio,24,Miami (OH),21,
Nov 27 2014,14,Louisiana State,23,Texas A&amp;M,17,
Nov 27 2014,14,Texas Christian,48,Texas,10,
Nov 28 2014,14,Colorado State,24,Air Force,27,
Nov 28 2014,14,Arizona State,35,Arizona,42,
Nov 28 2014,14,Ball State,41,Bowling Green State,24,
Nov 28 2014,14,Buffalo,41,Massachusetts,21,
Nov 28 2014,14,Central Florida,16,South Florida,0,
Nov 28 2014,14,East Carolina,49,Tulsa,32,
Nov 28 2014,14,Houston,35,Southern Methodist,9,
Nov 28 2014,14,Akron,24,Kent State,27,
Nov 28 2014,14,Arkansas,14,Missouri,21,
Nov 28 2014,14,Navy,42,South Alabama,40,
Nov 28 2014,14,Nebraska,37,Iowa,34,
Nov 28 2014,14,Northern Illinois,31,Western Michigan,21,
Nov 28 2014,14,Stanford,31,UCLA,10,
Nov 28 2014,14,Toledo,52,Eastern Michigan,16,
Nov 28 2014,14,Virginia,20,Virginia Tech,24,
Nov 28 2014,14,Western Kentucky,67,Marshall,66,
Nov 29 2014,14,Auburn,44,Alabama,55,
Nov 29 2014,14,Alabama-Birmingham,45,Southern Mississippi,24,
Nov 29 2014,14,Idaho,28,Appalachian State,45,
Nov 29 2014,14,New Mexico State,35,Arkansas State,68,
Nov 29 2014,14,Texas Tech,46,Baylor,48,AT&amp;T Stadium - Arlington TX
Nov 29 2014,14,Utah State,19,Boise State,50,
Nov 29 2014,14,Syracuse,7,Boston College,28,
Nov 29 2014,14,Brigham Young,42,California,35,
Nov 29 2014,14,Cincinnati,14,Temple,6,
Nov 29 2014,14,South Carolina,17,Clemson,35,
Nov 29 2014,14,Wake Forest,21,Duke,41,
Nov 29 2014,14,Florida,19,Florida State,24,
Nov 29 2014,14,Hawaii,21,Fresno State,28,
Nov 29 2014,14,Louisiana-Monroe,16,Georgia Southern,22,
Nov 29 2014,14,Georgia Tech,30,Georgia,24,
Nov 29 2014,14,Illinois,47,Northwestern,33,
Nov 29 2014,14,Purdue,16,Indiana,23,
Nov 29 2014,14,Kansas,13,Kansas State,51,
Nov 29 2014,14,Rice,31,Louisiana Tech,76,
Nov 29 2014,14,Louisiana-Lafayette,42,Troy,23,
Nov 29 2014,14,Kentucky,40,Louisville,44,
Nov 29 2014,14,Connecticut,10,Memphis,41,
Nov 29 2014,14,Michigan State,34,Penn State,10,
Nov 29 2014,14,Mississippi State,17,Mississippi,31,
Nov 29 2014,14,Nevada,49,Nevada-Las Vegas,27,
Nov 29 2014,14,Wyoming,30,New Mexico,36,
Nov 29 2014,14,North Carolina State,35,North Carolina,7,
Nov 29 2014,14,Michigan,28,Ohio State,42,
Nov 29 2014,14,Old Dominion,31,Florida Atlantic,28,
Nov 29 2014,14,Oregon,47,Oregon State,19,
Nov 29 2014,14,Pittsburgh,35,Miami (FL),23,
Nov 29 2014,14,Rutgers,41,Maryland,38,
Nov 29 2014,14,San Jose State,7,San Diego State,38,
Nov 29 2014,14,Notre Dame,14,Southern California,49,
Nov 29 2014,14,Tennessee,24,Vanderbilt,17,
Nov 29 2014,14,Texas State,54,Georgia State,31,
Nov 29 2014,14,Middle Tennessee State,21,Texas-El Paso,24,
Nov 29 2014,14,North Texas,27,Texas-San Antonio,34,
Nov 29 2014,14,Utah,38,Colorado,34,
Nov 29 2014,14,Washington,31,Washington State,13,
Nov 29 2014,14,West Virginia,37,Iowa State,24,
Nov 29 2014,14,Minnesota,24,Wisconsin,34,
Dec 4 2014,15,Central Florida,32,East Carolina,30,
Dec 5 2014,15,Bowling Green State,17,Northern Illinois,51,Mid-American Championship - Ford Field - Detroit MI
Dec 5 2014,15,Arizona,13,Oregon,51,Pac-12 Championship - Levi`s Stadium - Santa Clara CA
Dec 6 2014,15,Missouri,13,Alabama,42,SEC Championship - Georgia Dome - Atlanta GA
Dec 6 2014,15,Kansas State,27,Baylor,38,
Dec 6 2014,15,Fresno State,14,Boise State,28,
Dec 6 2014,15,Houston,31,Cincinnati,38,
Dec 6 2014,15,Georgia Tech,35,Florida State,37,ACC Championship - Bank of America Stadium - Charlotte NC
Dec 6 2014,15,Louisiana Tech,23,Marshall,26,
Dec 6 2014,15,Wisconsin,0,Ohio State,59,Big Ten Championship - Lucas Oil Stadium - Indianapolis IN
Dec 6 2014,15,Oklahoma State,38,Oklahoma,35,
Dec 6 2014,15,Southern Methodist,27,Connecticut,20,
Dec 6 2014,15,Temple,10,Tulane,3,
Dec 6 2014,15,Iowa State,3,Texas Christian,55,
Dec 13 2014,16,Army,10,Navy,17,M&amp;T Bank Stadium - Baltimore MD
Dec 20 2014,17,Western Michigan,24,Air Force,38,Famous Idaho Potato Bowl - Bronco Stadium Boise ID
Dec 20 2014,17,South Alabama,28,Bowling Green State,33,Raycom Media Camellia Bowl - Cramton Bowl Montgomery AL
Dec 20 2014,17,Nevada,3,Louisiana-Lafayette,16,R+L Carriers New Orleans Bowl - Mercedes-Benz Superdome New Orleans LA
Dec 20 2014,17,Colorado State,10,Utah,45,Royal Purple Las Vegas Bowl - Sam Boyd Stadium Las Vegas NV
Dec 20 2014,17,Texas-El Paso,6,Utah State,21,Gildan New Mexico Bowl - University Stadium Albuquerque NM
Dec 22 2014,17,Brigham Young,48,Memphis,55,Miami Beach Bowl - Marlins Park - Miami FL
Dec 23 2014,18,Northern Illinois,23,Marshall,52,Boca Raton Bowl - FAU Stadium - Boca Raton FL
Dec 23 2014,18,San Diego State,16,Navy,17,San Diego County Credit Union Poinsettia Bowl - Qualcomm Stadium San Diego CA
Dec 24 2014,18,Fresno State,6,Rice,30,Hawaii Bowl - Hawaiian Airlines Field at Aloha Stadium Honolulu HI
Dec 24 2014,18,Central Michigan,48,Western Kentucky,49,Popeyes Bahamas Bowl - Thomas Robinson National Stadium - Nassau Bahamas
Dec 26 2014,18,Illinois,18,Louisiana Tech,35,Zaxby`s Heart of Dallas Bowl - Cotton Bowl - Dallas TX
Dec 26 2014,18,Central Florida,27,North Carolina State,34,Bitcoin St. Petersburg Bowl - Tropicana Field St. Petersburg FL
Dec 26 2014,18,North Carolina,21,Rutgers,40,Quick Lane Bowl - Ford Field Detroit MI
Dec 27 2014,18,Duke,31,Arizona State,36,Hyundai Sun Bowl - Sun Bowl Stadium El Paso TX
Dec 27 2014,18,Boston College,30,Penn State,31,New Era Pinstripe Bowl - Yankee Stadium Bronx New York
Dec 27 2014,18,Miami (FL),21,South Carolina,24,Duck Commander Independence Bowl - Independence Stadium Shreveport LA
Dec 27 2014,18,Nebraska,42,Southern California,45,National University Holiday Bowl - Qualcomm Stadium San Diego CA
Dec 27 2014,18,Cincinnati,17,Virginia Tech,33,Military Bowl - Navy-Marine Corps Memorial Stadium Annapolis MD
Dec 29 2014,19,Texas,7,Arkansas,31,Advocare V100 Texas Bowl - NRG Stadium Houston TX
Dec 29 2014,19,Oklahoma,6,Clemson,40,Russell Athletic Bowl - Florida Citrus Bowl - Orlando FL
Dec 29 2014,19,West Virginia,37,Texas A&amp;M,45,AutoZone Liberty Bowl - Liberty Bowl Memorial Stadium Memphis TN
Dec 30 2014,20,Louisville,14,Georgia,37,Belk Bowl - Bank of America Stadium Charlotte NC
Dec 30 2014,20,Louisiana State,28,Notre Dame,31,Franklin American Mortgage Music City Bowl - LP Field Nashville TN
Dec 30 2014,20,Maryland,21,Stanford,45,Foster Farms Bowl - Levi`s Stadium Santa Clara CA
Dec 31 2014,20,Arizona,30,Boise State,38,Fiesta Bowl - University of Phoenix Stadium - Glendale AZ
Dec 31 2014,20,Mississippi State,34,Georgia Tech,49,Orange Bowl - Sun Life Stadium - Miami Gardens FL
Dec 31 2014,20,Mississippi,3,Texas Christian,42,Chick-fil-A Peach Bowl - Georgia Dome - Atlanta GA
Jan 1 2015,20,Baylor,41,Michigan State,42,Goodyear Cotton Bowl Classic - AT&amp;T Stadium - Arlington TX
Jan 1 2015,20,Minnesota,17,Missouri,33,Buffalo Wild Wings Citrus Bowl - Florida Citrus Bowl - Orlando FL
Jan 1 2015,20,Alabama,35,Ohio State,42,Allstate Sugar Bowl - Mercedes-Benz Superdome - New Orleans LA
Jan 1 2015,20,Florida State,20,Oregon,59,Rose Bowl - Rose Bowl - Pasadena CA
Jan 1 2015,20,Auburn,31,Wisconsin,34,Outback Bowl - Raymond James Stadium Tampa FL
Jan 2 2015,20,Pittsburgh,34,Houston,35,Lockheed Martin Armed Forces Bowl - Amon G. Carter Stadium Fort Worth TX
Jan 2 2015,20,Washington,22,Oklahoma State,30,TicketCity Cactus Bowl - Sun Devil Stadium Tempe AZ
Jan 2 2015,20,Iowa,28,Tennessee,45,TaxSlayer Bowl - EverBank Field Jacksonville FL
Jan 2 2015,20,Kansas State,35,UCLA,40,Valero Alamo Bowl - Alamodome San Antonio TX
Jan 3 2015,20,East Carolina,20,Florida,28,Birmingham Bowl - Legion Field Birmingham AL
Jan 4 2015,20,Arkansas State,44,Toledo,63,GoDaddy Bowl - Ladd-Peebles Stadium Mobile AL
Jan 12 2015,21,Oregon,20,Ohio State,42,College Football Championship - AT&amp;T Stadium - Arlington TX
