Date,Week,Away Team,Away Score,Home Team,Home Score,Neutral Field
Sep 6 2014,2,Western Kentucky,34,Illinois,42,
Sep 6 2014,2,Ball State,13,Iowa,17,
Sep 6 2014,2,Southeast Missouri State,28,Kansas,34,
Sep 6 2014,2,Kansas State,32,Iowa State,28,
Sep 6 2014,2,Ohio,3,Kentucky,20,
Sep 6 2014,2,Sam Houston State,0,Louisiana State,56,
Sep 6 2014,2,Louisiana Tech,48,Louisiana-Lafayette,20,
Sep 6 2014,2,Idaho,31,Louisiana-Monroe,38,
Sep 6 2014,2,Murray State,21,Louisville,66,
Sep 6 2014,2,Rhode Island,7,Marshall,48,
Sep 6 2014,2,Maryland,24,South Florida,17,
Sep 6 2014,2,Florida A&amp;M,7,Miami (FL),41,
Sep 6 2014,2,Middle Tennessee State,24,Minnesota,35,
Sep 6 2014,2,Mississippi,41,Vanderbilt,3,
Sep 6 2014,2,Alabama-Birmingham,34,Mississippi State,47,
Sep 6 2014,2,Missouri,49,Toledo,24,
Sep 6 2014,2,Navy,31,Temple,24,
Sep 6 2014,2,McNeese State,24,Nebraska,31,
Sep 6 2014,2,Northern Colorado,12,Nevada-Las Vegas,13,
Sep 6 2014,2,New Mexico State,34,Georgia State,31,
Sep 6 2014,2,San Diego State,27,North Carolina,31,
Sep 6 2014,2,Old Dominion,34,North Carolina State,46,
Sep 6 2014,2,Southern Methodist,6,North Texas,43,
Sep 6 2014,2,Northern Illinois,23,Northwestern,15,
Sep 6 2014,2,Michigan,0,Notre Dame,31,
Sep 6 2014,2,Oklahoma,52,Tulsa,7,
Sep 6 2014,2,Missouri State,23,Oklahoma State,40,
Sep 6 2014,2,Michigan State,27,Oregon,46,
Sep 6 2014,2,Oregon State,38,Hawaii,30,
Sep 6 2014,2,Akron,3,Penn State,21,
Sep 6 2014,2,Howard,25,Rutgers,38,
Sep 6 2014,2,South Alabama,23,Kent State,13,
Sep 6 2014,2,East Carolina,23,South Carolina,33,
Sep 6 2014,2,Southern California,13,Stanford,10,
Sep 6 2014,2,Alcorn State,20,Southern Mississippi,26,
Sep 6 2014,2,Arkansas State,19,Tennessee,34,
Sep 6 2014,2,Lamar,3,Texas A&amp;M,73,
Sep 6 2014,2,Texas Tech,30,Texas-El Paso,26,
Sep 6 2014,2,Memphis,35,UCLA,42,
Sep 6 2014,2,Fresno State,27,Utah,59,
Sep 6 2014,2,Idaho State,20,Utah State,40,
Sep 6 2014,2,Richmond,13,Virginia,45,
Sep 6 2014,2,Virginia Tech,35,Ohio State,21,
Sep 6 2014,2,Gardner-Webb,7,Wake Forest,23,
